Tom wandelt snel. 	 Tom walks quickly.
De top van de Fuji was bedekt met sneeuw. 	 The top of Mt. Fuji was covered with snow.
Tom wil fruit. 	 Tom wants fruit.
Tom zal dat niet voor de volgende maand kunnen doen. 	 Tom won't be able to do that until next month.
Tom heeft waarschijnlijk gelijk. 	 Tom is probably right.
U moet het me vertellen. 	 You must tell me.
Over wie was Tom aan het praten? 	 Who was Tom talking about?
Ik heb altijd al in deze buurt willen wonen. 	 I've always wanted to live in this neighborhood.
Engels is niet moeilijk te leren. 	 English is not difficult to learn.
Kan ik daar lopen? 	 Can I walk there?
Heb jij wat geld over? 	 Do you have any money left?
Het is veranderd. 	 It's been changed.
Ik neem aan dat u op verlof gaat. 	 I assume you'll be taking a leave of absence.
Mijn vrouw heeft net een baby gekregen. 	 My wife just had a baby.
Ik hou meer van Los Angeles. 	 I like L.A. better.
Tom is best goed in golf, nietwaar? 	 Tom is pretty good at golf, isn't he?
Ik heb mijn been gebroken. 	 I broke my leg.
We hebben jouw geld niet nodig. 	 We don't need your money.
Tom zei dat Mary dacht dat ze dat misschien mocht doen. 	 Tom said Mary thought she might be allowed to do that.
Hoe kom ik bij het strand? 	 How do I get to the beach?
Tom zei dat Mary erg veel honger heeft. 	 Tom said that Mary is very hungry.
Ik kreeg een pijl in mijn knie. 	 I took an arrow in the knee.
Seoul is de hoofdstad van Zuid-Korea. 	 Seoul is the capital of South Korea.
Ze zullen de vergadering niet zonder ons beginnen. 	 They won't start the meeting without us.
Ik moest mijn afspraak uitstellen. 	 I had to postpone my appointment.
Wat is je voornaam? 	 What's your first name?
Ze bleef werken. 	 She kept working.
Roken is verschrikkelijk voor uw gezondheid. 	 Smoking is terrible for your health.
Tom en Maria zijn echt grappig. 	 Tom and Mary are really funny.
Wie helpt haar? 	 Who helps her?
Bedankt voor het langskomen. 	 Thanks for dropping by.
Dit is niet gezond. 	 This isn't healthy.
Tom vroeg Maria geen suiker toe te voegen. 	 Tom told Mary not to add sugar.
Tom hoefde niet naar school te gaan. 	 Tom didn't have to go to school.
Ik heb jullie een seconde nodig. 	 I need you a second.
Dit is wat je wou, toch? 	 This is what you wanted, right?
Mijn vader neemt een bad voor het eten. 	 My father takes a bath before supper.
U bent gevaarlijk. 	 You're dangerous.
Hoe laat is uw vliegtuig? 	 What time's your plane?
Mijn gps doet het erg goed. 	 My GPS works very well.
Ik heb mijn kleren uitgewrongen. 	 I wrung out my clothes.
Ik deed alsof ik sliep. 	 I pretended to be asleep.
Waarom heeft Tom altijd geldproblemen? 	 Why does Tom always have money problems?
Mijn grootmoeder klaagt altijd van de kou. 	 My grandmother is always complaining of the cold.
Tom heeft waarschijnlijk over het feest gehoord via Mary. 	 Tom must've found out about the party from Mary.
Ik kan haar troosten. 	 I can comfort her.
Ik heb voor jou gedaan wat ik kon. 	 I did what I could for you.
Het bureau is gemaakt uit hout. 	 The desk is made of wood.
Wil je mij in de maling nemen? 	 Are you trying to cheat me?
Ik wil dat jullie gaan. 	 I want you to go.
Is de Franse uitspraak moeilijk? 	 Is French pronunciation difficult?
Heb ik u al niet eens eerder ontmoet? 	 Haven't I seen you before?
Toen ze studeerde, is ze maar één keer naar de disco geweest. 	 When she was a student, she went to the disco only once.
Hij trouwde met een stewardess. 	 He married a stewardess.
Mijn kat heeft deze muis gedood. 	 My cat killed this mouse.
Drink jullie melk. 	 Drink your milk.
Tom voelde de aardbeving niet. 	 Tom didn't feel the earthquake.
Jij zou er ook zo over denken. 	 You'd feel the same way.
We maken ons veel zorgen om jou. 	 We're very worried about you.
Tom koos ervoor om Kerstmis met Mary door te brengen in plaats van met zijn gezin. 	 Tom chose to spend Christmas with Mary rather than with his family.
Wat is je favoriete outfit? 	 What's your favorite outfit?
Hoeveel mensen heb je uitgenodigd op je bruiloft? 	 How many people did you invite to your wedding?
Tom is erg boos. 	 Tom is very angry.
Heeft u hier familieleden? 	 Do you have relatives here?
We hopen dat de waarheid aan het licht komt. 	 We hope that the truth comes to light.
Hij spreekt vloeiend Frans. 	 He speaks French fluently.
Tom had Maria nog nooit zo kwaad gezien. 	 Tom had never seen Mary that angry.
Tom zei dat hij Maria niet had geslagen. 	 Tom says he didn't hit Mary.
Op welk tijdstip gaat de winkel open? 	 What time does the store open?
Tom is de moordenaar. 	 Tom is the murderer.
Tom werd omringd door dolfijnen. 	 Tom was surrounded by dolphins.
Het heeft geen zin om dat te doen. 	 There's no sense in doing that.
Ik heb haar gevraagd met mij te trouwen, en ze heeft ja gezegd. 	 I asked her to marry me and she accepted.
Ik moet een auto hebben. 	 I must have a car.
Tom zei dat hij zou helpen. 	 Tom said he would help.
Ze koopt een stuk speelgoed voor haar kind. 	 She is buying a toy for her child.
Ik ken beide meisjes. 	 I know both of the girls.
Japanners hebben donkere ogen. 	 The Japanese have dark eyes.
Vergeet niet een paar eieren te kopen. 	 Don't forget to buy some eggs.
Wie is verantwoordelijk voor de hoge werkloosheid? 	 Who is responsible for high unemployment?
Tom zegt dat Mary fout zit. 	 Tom says Mary is wrong.
Er lijkt iets niet in de haak met deze auto. 	 It seems that something is wrong with this car.
Ik hoop dat we niet te lang moeten wachten. 	 I hope we don't have to wait for too long.
Ik staarde naar de man. 	 I stared at the man.
Tom reed Maria naar Boston. 	 Tom drove Mary to Boston.
Hè, wat irritant! 	 How annoying!
Tom repareerde de kapotte klok. 	 Tom fixed the broken clock.
Bedankt voor je hulp. 	 Thanks for your help.
De bank leende hem vijfhonderd dollar. 	 The bank loaned him 500 dollars.
Wat doen die mensen? 	 What are those people doing?
Je kunt je niet eeuwig verbergen. 	 You can't hide forever.
De dief was aan handen en voeten gebonden. 	 The thief was bound hand and foot.
Oh, ik snap het. 	 Oh, I got it.
Er was doodse stilte. 	 There was total silence.
Ik wilde echt geen tikkertje spelen met Tom en zijn vrienden. 	 I really didn't want to play tag with Tom and his friends.
Ge hebt veel fouten gemaakt. 	 You have made many mistakes.
Ik ga het Tom vragen. 	 I'll go ask Tom.
Mijnheer, mag ik uw rijbewijs zien? 	 May I see your driver's license, sir?
Haar boek is rood. 	 Her book is red.
Wanneer ze in gevaar zijn, vluchten ze. 	 When they are in danger, they run away.
Ik zal het probleem uitvoerig met je bespreken. 	 I will discuss the question with you in detail.
Het lijkt erop dat jij iets weet dat ik niet weet. 	 It would seem that you know something that I don't.
Ik moet het boek voor zaterdag terugbrengen. 	 I have to give back the book before Saturday.
Ik haat strijken. 	 I hate ironing.
Wie is de baas? 	 Who's in charge?
Ik heb ze gezegd dat ze me nog een ticket moeten opsturen. 	 I told them to send me another ticket.
Ik heb veel Facebook- en Twitter-accounts aangemaakt sinds 2008. Ik heb nu zes Facebook-accounts en vijftien Twitter-accounts. 	 I've opened many Facebook and Twitter accounts since 2008. I now have six Facebook accounts and fifteen Twitter accounts.
Tom vergat om batterijen te kopen. 	 Tom forgot to buy batteries.
Tom wacht op het vliegveld. 	 Tom is waiting at the airport.
Ik ben mijn handen vergeten te wassen. 	 I forgot to wash my hands.
Ik zie geen verschil. 	 I don't see any difference.
Tom zit al in de bus. 	 Tom is already on the bus.
Tom is allergisch voor soja. 	 Tom is allergic to soy.
De pen is machtiger dan het zwaard. 	 The pen is mightier than the sword.
Ik heb scheve tanden. 	 I have crooked teeth.
Ik had bijna genoeg geld om alles te kopen wat ik nodig had. 	 I almost had enough money to buy everything I needed.
Waarom gaap je? 	 Why are you yawning?
Het was een wijs besluit. 	 It was a wise decision.
Tom zegt dat Mary moe is. 	 Tom says Mary is tired.
Er zijn veel bruggen in deze stad. 	 There are a lot of bridges in this city.
Tom lijdt aan chronische rugpijn. 	 Tom suffers from chronic back pain.
We zijn zonet begonnen. 	 We just got started.
Gelooft u me niet? 	 Don't you believe me?
Tom zegt te begrijpen waarom Mary dat niet zou willen doen. 	 Tom said that he understands why Mary might not want to do that.
Waar gaan jullie dan heen? 	 So where are you guys going?
Die das zit je echt goed. 	 That tie really suits you.
Hoe groot is het? 	 How big is it?
Tom kan zich niet in anderen verplaatsen. 	 Tom lacks empathy for others.
Ik zou ook zo denken. 	 I'd feel the same way.
Vecht als een man! 	 Fight like a man!
Heeft ze graag appelsienen? 	 Does she like oranges?
Je bent een slechte invloed op Tom. 	 You're a bad influence on Tom.
Tom heeft een iPhone. 	 Tom has an iPhone.
Ze bedacht een goede oplossing. 	 She thought of a good solution.
Ik heb hier een probleem. 	 I have a problem here.
Ik ben jouw houding zat. 	 I'm fed up with your attitude.
Als het je niet bevalt dan kan je ophoepelen. 	 If you don't like it then you can quit.
Het proces duurde tien opeenvolgende dagen. 	 The trial lasted for ten consecutive days.
Is dit jouw fiets? 	 Is this your bike?
Haast u alstublieft. 	 Please hurry up!
Wie je bent is belangrijker dan wat je hebt. 	 What you are is more important than what you have.
Ik heb ongeveer vijftig dollar betaald. 	 I paid about 50 bucks.
Wij zijn een tweeling. 	 They're twins.
Tom speelt tennis morgen. 	 Tom is going to play tennis tomorrow.
Alle soldaten stonden naast elkaar. 	 All the soldiers stood side by side.
Je overschat hem. 	 You overestimate him.
Ik hoop volgende keer beter te zingen. 	 I expect to sing better next time.
Heb je al kerstcadeautjes gekocht? 	 Have you bought your Christmas gifts yet?
Waar moet ik afstappen? 	 Where do I get off?
Zijn mijn kinderen in orde? 	 Are my children OK?
Ze wilden echt weten wat er gebeurd is. 	 They really wanted to know what happened.
Ik wil je auto morgen lenen. 	 I want to borrow your car tomorrow.
Ik wilde een touringcar huren. 	 I wanted to rent a bus.
Waarom ben je thuis? 	 Why are you at home?
Tom bekende aan Mary. 	 Tom confessed to Mary.
Met Tom valt er niet te discussiëren. 	 There's no arguing with Tom.
Ik zat vast. 	 I was stuck.
Ik ben niet zo blij. 	 I'm not so happy.
Malaria wordt door muggen overgedragen. 	 Malaria is carried by mosquitoes.
Ik denk dat je me belogen hebt. 	 I think you lied to me.
Kan je me vertellen waar de vlooienmarkt is? 	 Can you tell me where the flea market is?
Dat doet Tom als hij honger heeft. 	 Tom does that when he's hungry.
Tom gaat me helpen. 	 Tom will help me.
Ik zal een biertje voor je kopen. 	 I'll buy you a beer.
Ik was niet nerveus. 	 I wasn't nervous.
Misschien had Tom er iets mee te maken. 	 Maybe Tom was involved.
Praat je tegen je hond? 	 Do you talk to your dog?
Ze komt misschien. 	 She might come.
Ik ben niet klaar om te gaan. 	 I'm not ready to go.
Zijn jullie bang voor de dood? 	 Are you afraid of death?
Haar moedertaal is Frans. 	 French is her native language.
Ik heb geen geld. 	 I have no money.
Ik heb nu tijd. 	 I'm free now.
Ze is nieuwsgierig naar wie de bloemen stuurde. 	 She's curious to find out who sent the flowers.
Hoe laat kwam je thuis? 	 What time did you get home?
Tom was als een broer. 	 Tom was like a brother.
Ken jij Tom zijn echte naam? 	 Do you know Tom's real name?
Tom was de enige in de stad die een zwembad met een duikplank had. 	 Tom had the only pool in town with a diving board.
Ik kan over alles praten met mijn beste vriend. 	 I can talk about anything with my best friend.
Bedankt voor het bellen. 	 Thank you for calling.
Het is tijd om op te staan. 	 Time to get up.
Tom kan goed harmonica spelen. 	 Tom plays the harmonica well.
Tom kan vrij goed zingen. 	 Tom can sing quite well.
Ik zie geen steek. 	 I can't see a thing.
Ik wil je nog steeds morgen zien. 	 I still want to see you tomorrow.
We hebben luchtsteun. 	 We have air support.
Ze is een professor. 	 She's a professor.
Ik zal je missen wanneer je weg bent. 	 I'll miss you when you're gone.
Ik ga werken tijdens de krokusvakantie. 	 I'm going to work during the spring vacation.
Tom kijkt graag tv. 	 Tom enjoys watching TV.
Deze hoed is van mij. 	 This hat is mine.
Gaat het vanmiddag regenen? 	 Will it rain this afternoon?
Het koor zong een a capella-versie van het lied. 	 The choir sung an a capella version of the song.
Duitsland was ooit een bondgenoot van Italië. 	 Germany was once allied with Italy.
Wij staan aan jouw kant. 	 We are with you.
Je cijfers waren duidelijk lager dan gemiddeld dit semester. 	 Your marks were well below average this term.
Ik accepteer jouw uitdaging. 	 I accept your challenge.
We waren erg slaperig de volgende morgen. 	 We were very sleepy the next morning.
Moeten we aanstaande maandag naar school? 	 Do we have to come to school next Monday?
Hoe is het water? 	 How's the water?
We hebben geen geheimen. 	 We don't have secrets.
Verbergen zij iets? 	 Are they hiding something?
De toeristen moesten de stad voor zonsopgang verlaten. 	 The tourists had to leave the town before dawn.
Kop dicht! Je praat te veel. 	 Shut up! You're talking too much.
Wat zijn jullie aan het drinken? 	 What are you drinking?
Wat voor soort vis is dat? 	 What kind of fish is that?
Tom heeft altijd ruzie met zijn ouders. 	 Tom always quarrels with his parents.
Hij is aardig. 	 He is kind.
Laat zien. 	 Let me see.
Ik denk dat ik je geloof. 	 I think I believe you.
Tom vond Mary's optreden niet erg goed. 	 Tom doesn't think that Mary's performance was very good.
Sluit je aan. 	 Join us.
Ik praat soms over de schutting met mijn buurman. 	 I sometimes talk to my neighbor across the fence.
Ik had mijn twijfels. 	 I hesitated.
Volgens de weersvoorspelling gaat het morgenmiddag regenen. 	 The weather report says it will rain tomorrow afternoon.
Misschien zijn we verwant. 	 Maybe we're related.
Tom is bang dat hij er dom zal uitzien. 	 Tom is afraid he's going to look stupid.
Laat ons gaan schuilen voor de regen. 	 Let's get out of the rain.
Ik woon in een zeer rustige buurt. 	 I live in a very quiet neighborhood.
Je eerlijkheid is verfrissend. 	 Your honesty is refreshing.
Hun ontmoeting was onvermijdbaar. 	 Their meeting was inevitable.
Ik heb niet zo een honger. 	 I'm not that hungry.
Zijn dit jullie paarden? 	 Are these your horses?
Ik hou van vissen. 	 I enjoy fishing.
Hij doet alsof hij enthousiast is wanneer zijn baas in de buurt is. 	 He pretends to be enthusiastic when his boss is around.
Ze heeft hem uitgelegd waarom ze laat was. 	 She explained to him why she was late.
Marie is de vrouw van mijn dromen. 	 Mary is the woman of my dreams.
Misschien is ze verpleegkundige. Ik weet het niet zeker. 	 She may be a nurse. I am not sure.
De school is gesloten voor de kerstvakantie. 	 School has closed for the Christmas holidays.
Hoeveel staat er op je lopende rekening? 	 How much is in your checking account?
Tom is niet bang voor ons. 	 Tom isn't afraid of us.
Tom en ik zijn goede vrienden. 	 Tom and I are good friends.
Kunnen we praten? 	 Can we talk?
We moeten gaan. 	 We should leave.
Maak je geen zorgen. Alles is onder controle. 	 Don't worry. Everything's under control.
Ik ken haar al lang. 	 I've known her for a long time.
Zij zijn getrouwd toen ze nog jong waren. 	 They married when they were young.
Je kan maar beter uitzoeken wanneer we er moeten zijn. 	 You'd better find out when we're supposed to be there.
Ze is geïnteresseerd in jazz. 	 She is interested in jazz.
Het leven begint bij veertig. 	 Life begins at forty.
Wat zit je te spelen? 	 What are you playing?
I dacht dat Tom en Mary beiden jonger dan dertig waren. 	 I thought that Tom and Mary were both under thirty.
Tom is glasblazer. 	 Tom is a glassblower.
Ik ben niet zoals de andere meisjes. 	 I'm not like the other girls.
Ik heb nooit in Australië gewoond. 	 I've never lived in Australia.
Het spijt me van gisteren. 	 I apologize for yesterday.
Tom is redelijk zwak. 	 Tom is pretty weak.
Voor wie werk je? 	 Who do you work for?
Die opmerking was niet nodig. 	 That comment was unnecessary.
Ben je in dat meisje geïnteresseerd? 	 Are you interested in that girl?
Het is een modern huis. 	 It's a modern house.
Ik wens jullie allemaal het allerbeste. 	 I wish all of you well.
Tom kan het niet verdragen. 	 Tom can't bear it.
Je ziet er bleek uit. 	 You look pale.
Hou ermee op. 	 Cut it out.
Tom schreef iets op de achterkant van de brief. 	 Tom wrote something on the back of the letter.
Hij vertelde me de waarheid. 	 He told me the truth.
Ik wil dat hij dit leest. 	 I want him to read this.
Wat als ik gelijk heb? 	 What if I'm right?
Hoe spannend! 	 How exciting!
Tom zorgde voor Mary haar katten toen ze in Boston was. 	 Tom took care of Mary's cats while she was in Boston.
Ik wist niet dat Tom me niet mocht. 	 I didn't know Tom didn't like me.
Ik wist dat Tom niet deugde. 	 I knew that Tom was no good.
Ik at een hamburger. 	 I ate a hamburger.
Mijn oom overleed twee jaar geleden aan kanker. 	 My uncle died of cancer two years ago.
Alle mannen zijn ijverig. 	 All the men are hardworking.
Wil je wat koffie? 	 Would you like some coffee?
Ik heb gisteren mijn haar laten knippen. 	 I got my hair cut yesterday.
Wat is de naam van jouw hond? 	 What's the name of your dog?
Je had Toms gezicht moeten zien toen ik het hem vertelde. 	 You should've seen the look on Tom's face when I told him.
Hoe laat kunt u komen? 	 What time can you come?
Ik loog tegen je. 	 I've lied to you.
Dat is niet mijn auto. 	 That's not my car.
Zij was helemaal in het zwart gekleed. 	 She was dressed all in black.
Je aanbod is redelijk. 	 Your offer is reasonable.
Hij stuurde haar bloemen samen met een mooie kaart. 	 He sent her some flowers, along with a pretty card.
Het water is door de regen modderig geworden. 	 The water became muddy because of the rain.
Het is een gênante vraag. 	 It's an embarrassing question.
Open je boek op bladzijde negen. 	 Open your book to page nine.
Dit horloge is gemaakt in Japan. 	 This watch is made in Japan.
Tom wenste dat hij iemand had om tegen te praten. 	 Tom wished that he had someone to talk to.
Tom, wees voorzichtig! 	 Tom, be careful!
Ik ben blij dat Tom hier is. 	 I'm glad Tom is here.
Ik meen het! 	 I mean it.
Hij besloot zijn vertrek uit te stellen. 	 He decided to put off his departure.
Dit is het huis waar hij geboren werd. 	 This is the house in which he was born.
Tom hoopte dat hij dat niet zou hoeven te doen. 	 Tom was hoping he wouldn't need to do that.
Ik ben er zeker van dat je het erg druk hebt. 	 I'm sure you're very busy.
Geen idee. 	 Beats me.
Ik heb gisteren de hele dag geslapen. 	 I slept all day yesterday.
We hebben veel regen gehad deze maand. 	 There's been a lot of rain this month.
Ik ben Tom. 	 I'm Tom.
Ik vraag me af waarom. 	 I wonder why that is.
Heren geven de voorkeur aan blondines. 	 Gentlemen prefer blondes.
Tom en Mary hebben een kind geadopteerd. 	 Tom and Mary have adopted a kid.
Tom zal vandaag niet thuis raken. 	 Tom won't get back home today.
Dit is zijn huis. 	 This is his house.
De aanplakbiljetten zijn onmiddellijk van de muur gehaald. 	 The posters were immediately removed from the wall.
Tom zal niet aanwezig zijn. 	 Tom won't be here.
Ik ga voorgoed stoppen met roken. 	 I will quit smoking for good.
Ik heb deze brief in het Frans geschreven. 	 I wrote this letter in French.
Wat is de plaatselijke tijd in New York? 	 What is the local time in New York?
Tom nam zijn familie mee naar de dierentuin. 	 Tom took his family to the zoo.
Hij is erg beschermend. 	 He's very protective.
Ik ben niet bang. 	 I'm not scared.
Er zit een gat in je sok. 	 There is a hole in your sock.
Veel mensen houden van chocolade. 	 Many people like chocolate.
Doe het alsjeblieft opnieuw. 	 Please do that again.
Ook mijn moeder is lerares. 	 My mother is a teacher, too.
Hoelang ben je al hier? 	 How long have you been here?
Wacht op je beurt alsjeblieft. 	 Wait for your turn, please.
Ik hoop dat we winnen. 	 I hope we win.
Ik begrijp het min of meer. 	 I understand it more or less.
Ik zou hem morgenmiddag graag willen zien. 	 I'd like to see him tomorrow afternoon.
Dit boek was gemakkelijk. 	 This book was easy.
Ik ben niet slaperig. 	 I'm not sleepy.
Tom houdt van de kleur oranje. 	 Tom likes the color orange.
Ik zou het op prijs stellen als ze naast me zou komen zitten. 	 I'd rather she sat next to me.
Hoelang duurt dit? 	 How long will it be?
Tom en Mary zijn vorig jaar gescheiden. 	 Tom and Mary got divorced last year.
Doe de deur niet dicht. 	 Don't close the door.
Onze boot volgde een school vissen. 	 Our boat followed a school of fish.
Ze was bang voor de hond. 	 She was afraid of the dog.
Het is persoonlijk. 	 It's personal.
Hoeveel kerstkaartjes heeft u verstuurd? 	 How many Christmas cards did you send?
Ik werkte als ober toen ik student was. 	 I worked as a waiter when I was a student.
Ik weet niet wat ik moet doen en andere mensen weten het ook niet. 	 I don't know what to do and neither does anyone else.
Kom met ons mee. 	 Come along with us.
Tom zei dat hij dacht dat Mary zou wachten. 	 Tom said he thought Mary would wait.
Niet alle boeken zijn het waard om te lezen. 	 Not all the books are worth reading.
Tom zei dat hij Maria heeft gevraagd om de laatste sinaasappel niet op te eten. 	 Tom said that he asked Mary not to eat the last orange.
Beheers je! 	 Control yourself.
Waar zijn jullie naar op zoek? 	 What are you looking for?
Ik kan het in je ogen zien. 	 I can see it in your eyes.
Ik help hem. 	 I help him.
Ik heb rugpijn. 	 I have a backache.
Dit zijn niet jouw vorken. 	 These are not your forks.
Hij is me veel geld schuldig. 	 He owes me a lot of money.
Ze werken 's nachts. 	 They work at night.
Eskimo's hebben negentig verschillende woorden voor sneeuw. 	 Eskimos have ninety different words for snow.
Tom zei dat hij naar het strand wou gaan. 	 Tom said he wanted to go to the beach.
Sluit de deur alsjeblieft. 	 Close the door, please.
De wortelen kunnen worden geoogst. 	 The carrots are ready to harvest.
Ik was een van de beste leerlingen van de klas. 	 I was one of the best students in the class.
We hebben de vuilnisbakken buitengezet. 	 We took the trash out.
Ik heb een nieuwe computer nodig. 	 I need a new computer.
Wat is uw adres? 	 What is your address?
Het garnizoen werd tot capitulatie gedwongen. 	 The garrison was forced to surrender.
Tom is niet autistisch. 	 Tom isn't autistic.
Tom is boos. 	 Tom is angry.
Hij verstaat de kunst om vrienden te maken. 	 He knows the art of making friends.
Je bent onweerstaanbaar. 	 You're irresistible.
Moeder maakte ons middageten klaar. 	 Mother prepared us lunch.
Mijn teen begon te bloeden. 	 My toe began to bleed.
Ik woon met mijn gezin in Australië. 	 I live in Australia with my family.
We deden de koffer dicht. 	 We closed the suitcase.
Ik heb een hotdog gegeten als middagmaal. 	 I ate a hot dog for lunch.
In deze winkel worden geen postzegels verkocht. 	 Stamps aren't sold in this store.
Toms shirt was drijfnat van het zweet. 	 Tom's shirt was soaked with sweat.
Ik ben hier als toerist. 	 I'm here as a tourist.
Waarom zijt ge zo treurig? 	 Why are you so sad?
Hij is niet onze vijand. 	 He isn't our enemy.
De vader van Tom was dokter. 	 Tom's father was a doctor.
Weeg je woorden goed af. 	 Weigh your words well.
Van wie is dit? 	 Whose is this?
Ik heb een zeer mooie hond. 	 I have a very beautiful dog.
Tom eet zelden met zijn familie. 	 Tom seldom eats with his family.
Heeft u geholpen? 	 Did you help?
Hij zond zijn bagage vooruit. 	 He sent his luggage in advance.
Hij is een kundig advocaat. 	 He is an able lawyer.
We hebben zelf ons huis geverfd. 	 We painted our house ourselves.
Ik wist niet dat Tom bij de familie van Mary woonde. 	 I didn't know that Tom was living with Mary's family.
Ik las de oude documenten. 	 I read the old documents.
In het begin geloofden ze hem niet. 	 At first, they didn't believe him.
Het was steenhard. 	 It was hard as rock.
Trek je pyjama aan. 	 Put on your pajamas.
Het verheugt me je terug te zien. 	 I'm glad to see you again.
Ik heb veel vrienden. 	 I have plenty of friends.
Tom wilde Maria. 	 Tom wanted Mary.
Tom en Mary lezen boeken in hun kamer. 	 Tom and Mary are reading books in their rooms.
Tom is niet bang voor honden. 	 Tom isn't scared of dogs.
Tom dommelde. 	 Tom dozed.
Ik ben Toms kamergenoot. 	 I'm Tom's roommate.
Je bent een geweldige vriend. 	 You're a wonderful friend.
Men heeft mij niet betaald. 	 I didn't get paid.
Dat was best cool. 	 That was pretty cool.
Mijn haar is nat. 	 My hair's wet.
Ik vraag me af of Tom nog steeds in Australië woont. 	 I wonder whether Tom still lives in Australia.
Vandaag zal Tom er misschien niet zijn. 	 Perhaps Tom won't be here today.
Ik kan je dit boek niet lenen. 	 I can't lend this book to you.
Grote delen van de oceaan zijn vervuild. 	 Large areas of the ocean are polluted.
Wegwezen! 	 Get out!
Mijn vrouw is nu aan het koken. 	 My wife is cooking right now.
Gaan we weer weg? 	 Are we going out again?
Het is rood. 	 It's red.
Uw fiets is beter dan de mijne. 	 Your bike is better than mine.
Tom gaf de bloemen water. 	 Tom watered the flowers.
Ze hebben mij geholpen. 	 They helped me.
Tom bezit een gele sportwagen. 	 Tom owns a yellow sports car.
Het restaurant was leeg. 	 The restaurant was empty.
Er zitten veertig leerlingen in onze klas. 	 There are forty students in our class.
Tom is een van de meest gerespecteerde mannen in onze stad. 	 Tom is one of the most respected men in our town.
Ik zal buiten wachten. 	 I will wait outside.
Het was een vreselijk ongeval. 	 It was a terrible accident.
Ik heb niets anders te zeggen. 	 I have nothing left to say.
Ik heb huiswerk. 	 I have homework.
Ik ben een gevangene. 	 I'm a prisoner.
Ik ben uroloog. 	 I'm a urologist.
Hebben jullie nog vragen voor we beginnen? 	 Do you have any questions before we get started?
Wat heeft het voor zin? 	 What's the point of doing that?
Hij vroeg haar met hem te trouwen, maar ze weigerde. 	 He asked her to marry him, but she refused.
U zou beter wat voorzichtiger zijn. 	 You should be more careful.
Ik ga niet. 	 I won't leave.
Ik ben in Rome geweest. 	 I have been to Rome.
Dat gaat je niks aan. 	 This doesn't concern you.
Ik denk niet dat je weet wat je vraagt. 	 I don't think that you know what you're asking.
Geef dit boek zo snel mogelijk weer terug. 	 Return this book as soon as you can.
Ze zijn met elkaar aan het praten. 	 They are talking with each other.
Die jongen is slim. 	 That boy is smart.
Hij is mijn broertje. 	 He's my younger brother.
Ik heb de poort blauw geverfd. 	 I painted the gate blue.
Veel Italianen gingen naar Australië. 	 Lots of Italians went to Australia.
Weet jij hoe je bij Toms huis komt? 	 Do you know how to get to Tom's house?
Misschien is hij Italiaans of Spaans. 	 Maybe he is Italian or Spanish.
Ruiken jullie rook? 	 Do you smell smoke?
Het was pizza. 	 It was pizza.
Hoe lang was je in het buitenland? 	 How long have you been abroad?
Welk team zal waarschijnlijk winnen? 	 Which team is likely to win?
Ze is bang voor katten. 	 She is afraid of cats.
Tom draagt zelden zijn zwart hemd. 	 Tom seldom wears his black shirt.
De man is oud. 	 The man is old.
Tom sloeg Mary dood met een baseballknuppel. 	 Tom beat Mary to death with a baseball bat.
Het is een harp. 	 It's a harp.
George Washington was de eerste president van de Verenigde Staten van Amerika. 	 George Washington was the first President of the United States of America.
Tom is wijs. 	 Tom is wise.
Bloemen maken haar blij. 	 Flowers make her happy.
Het is geen noodgeval. 	 It's not an emergency.
Hij vergat dat hij een cadeau voor haar had gekocht. 	 He forgot that he bought her a present.
Ik heb een hond. 	 I have a dog.
Ik ben Tom aan het troosten. 	 I'm consoling Tom.
We waren aan het studeren. 	 We were studying.
Ben je ooit in het buitenland geweest? 	 Have you ever been abroad?
Het leven is vreemd. 	 Life is strange.
Ik kan niet zwemmen. 	 I don't know how to swim.
Hoe heette die jongen ook alweer? 	 What was the boy called?
Gelieve de veiligheidsgordel aan te gespen. 	 Please fasten your seat belt.
Griekenland heeft veel eilanden. 	 Greece has many islands.
Ik heb in Australië gewoond. 	 I've lived in Australia.
Toms verjaardag was gisteren. 	 Tom's birthday was yesterday.
Wat is jouw wachtwoord? 	 What's your password?
Je kan nog niet gaan. 	 You can't go yet.
Tom heeft 100% gelijk. 	 Tom is 100% correct.
Ik weet niet wat dat is. 	 I don't know what it is.
Ik gaf mezelf aan. 	 I turned myself in.
Die ziekte wordt door bacteriën veroorzaakt. 	 That disease is caused by bacteria.
Ik kan aan alles weerstaan behalve aan verleiding. 	 I can resist everything but temptation.
Tom heeft een lijst gemaakt van plekken die hij graag zou bezoeken. 	 Tom made a list of places he wants to visit.
Tom eet graag ijs met een kleine lepel. 	 Tom likes to eat ice cream with a small spoon.
Er waren geen andere overlevenden. 	 There were no other survivors.
Het enige wat je hoeft te doen is wachten. 	 All you have to do is to wait.
Waar rook is, is vuur. 	 There is no smoke without fire.
Hoeveel gaat het kosten? 	 How much will it cost?
Beëindig het verhaal. 	 Finish the story.
Tom spreekt Frans, toch? 	 Tom speaks French, doesn't he?
Er zijn geen woorden voor hoe geweldig jij bent. 	 No words can express how amazing you are.
Tom verdween. 	 Tom vanished.
Ik verkoop de paarden niet. 	 I'm not selling the horses.
Tom was hier de hele dag. 	 Tom was here all day.
Tom doet dat elke maandag. 	 Tom does that every Monday.
Vertrouw Tom niet te veel. 	 Don't trust Tom too much.
